year,matches,wins,win_rate
1975,3,0,0
1979,2,1,50
1982,8,2,25
1983,13,3,23.076923076923077
1984,7,3,42.857142857142854
1985,19,2,10.526315789473683
1986,12,3,25
1987,10,0,0
1988,16,4,25
1989,10,2,20
1990,15,5,33.33333333333333
1991,4,0,0
1992,19,7,36.84210526315789
1993,23,8,34.78260869565217
1994,24,9,37.5
1995,17,9,52.94117647058824
1996,30,18,60
1997,28,19,67.85714285714286
1998,23,11,47.82608695652174
1999,34,12,35.294117647058826
2000,21,16,76.19047619047619
2001,34,22,64.70588235294117
2002,32,15,46.875
2003,26,13,50
2004,28,20,71.42857142857143
2005,16,8,50
2006,36,19,52.77777777777778
2007,29,16,55.172413793103445
2008,27,14,51.85185185185185
2009,27,12,44.44444444444444
2010,22,15,68.18181818181817
2011,28,14,50
2012,33,14,42.42424242424242
2013,30,14,46.666666666666664
2014,32,20,62.5
2015,25,12,48
2016,19,6,31.57894736842105
2017,29,5,17.24137931034483
2018,17,6,35.294117647058826
2019,21,7,33.33333333333333
2020,3,3,100
2021,15,4,26.666666666666668
2022,11,6,54.54545454545454
2023,31,16,51.61290322580645
2024,18,12,66.66666666666666
